date, pm25, pm10, o3, no2, so2
2017/7/1, 41, 19, 6, 21, 1
2017/7/2, 40, 20, 8, 24, 1
2017/7/3, 51, 11, 8, 15, 
2017/7/4, 27, 12, 15, 10, 
2017/7/5, 24, 12, 11, 13, 1
2017/7/6, 15, 14, 8, 22, 2
2017/7/7, 26, 20, 6, 19, 2
2017/7/8, 35, 18, 6, 19, 2
2017/7/9, 36, 18, 5, 21, 2
2017/7/10, 35, 14, 11, 14, 2
2017/7/11, 28, 13, 12, 11, 1
2017/7/12, 25, 12, 12, 8, 1
2017/7/13, 18, 10, 10, 7, 1
2017/7/14, 13, 10, 11, 7, 1
2017/7/15, 14, 11, 10, 5, 
2017/7/16, 13, 11, 7, 15, 
2017/7/17, 17, 12, 8, 16, 1
2017/7/18, 20, 12, 10, 11, 2
2017/7/19, 25, 14, 12, 7, 2
2017/7/20, 30, 13, 15, 6, 2
2017/7/21, 27, 13, 13, 9, 2
2017/7/22, 28, 13, 17, 10, 3
2017/7/23, 37, 8, 14, 8, 3
2017/7/24, 20, 10, 15, 11, 3
2017/7/25, 30, 12, 15, 12, 3
2017/7/26, 36, 11, 17, 9, 2
2017/7/27, 37, 19, 24, 13, 2
2017/7/28, 43, 46, 62, 47, 6
2017/7/29, 95, 67, 75, 52, 11
2017/7/30, 152, 42, 18, 31, 3
2017/7/31, 95, 29, 15, 29, 3
2017/8/1, 66, 25, 17, 28, 4
2017/8/2, 55, 13, 9, 20, 3
2017/8/3, 36, 15, 8, 23, 4
2017/8/4, 39, 29, 14, 19, 4
2017/8/5, 58, 25, 13, 24, 5
2017/8/6, 57, 21, 8, 24, 4
2017/8/7, 45, 22, 6, 22, 3
2017/8/8, 40, 25, 5, 24, 3
2017/8/9, 51, 28, 8, 28, 3
2017/8/10, 59, 30, 6, 29, 3
2017/8/11, 63, 28, 6, 23, 3
2017/8/12, 55, 20, 6, 18, 4
2017/8/13, 43, 22, 4, 19, 4
